customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,support_tickets,payment_method,is_senior_citizen,churn
CUST-00001,40,60.36,2453.72,One year,DSL,0,Bank transfer,0,1
CUST-00002,10,50.06,487.85,Month-to-month,DSL,0,Electronic check,0,1
CUST-00003,11,28.92,332.26,Month-to-month,No,1,Mailed check,0,1
CUST-00004,60,37.84,2200.49,Two year,Fiber optic,0,Electronic check,0,0
CUST-00005,53,79.71,4011.82,Two year,Fiber optic,1,Bank transfer,0,0
CUST-00006,19,41.28,793.13,Month-to-month,DSL,4,Bank transfer,0,0
CUST-00007,1,122.34,122.73,Month-to-month,Fiber optic,0,Mailed check,0,0
CUST-00008,28,50.49,1468.44,One year,DSL,2,Electronic check,0,0
CUST-00009,49,46.5,2174.68,One year,DSL,2,Credit card,0,0
CUST-00010,53,29.36,1531.43,One year,No,1,Credit card,0,0
CUST-00011,50,57.55,2790.05,Two year,DSL,4,Mailed check,0,0
CUST-00012,54,43.5,2356.81,Two year,DSL,1,Electronic check,0,0
CUST-00013,16,63.63,950.72,Month-to-month,Fiber optic,0,Bank transfer,1,1
CUST-00014,1,88.96,81.85,Month-to-month,Fiber optic,0,Mailed check,0,1
CUST-00015,15,35.34,493.12,Month-to-month,No,1,Bank transfer,0,0
CUST-00016,1,64.34,64.27,Month-to-month,DSL,4,Credit card,1,0
CUST-00017,38,100.93,3714.7,Two year,Fiber optic,3,Mailed check,0,0
CUST-00018,7,78.51,509.81,Month-to-month,DSL,2,Mailed check,0,1
CUST-00019,1,56.71,57.51,Month-to-month,DSL,3,Mailed check,0,1
CUST-00020,4,67.85,266.17,Month-to-month,Fiber optic,2,Electronic check,0,0
CUST-00021,32,15.0,448.42,One year,No,2,Electronic check,0,0
CUST-00022,28,99.65,2585.33,Month-to-month,Fiber optic,0,Electronic check,0,0
CUST-00023,45,25.5,1115.53,Two year,No,3,Mailed check,0,0
CUST-00024,19,75.4,1463.88,Month-to-month,Fiber optic,0,Credit card,0,0
CUST-00025,1,46.05,46.84,Month-to-month,DSL,4,Mailed check,1,1
CUST-00026,61,60.11,3784.18,Two year,DSL,2,Electronic check,1,0
CUST-00027,38,96.58,3625.86,Two year,Fiber optic,3,Electronic check,0,0
CUST-00028,11,123.05,1246.91,Month-to-month,Fiber optic,0,Bank transfer,0,1
CUST-00029,44,65.28,2668.22,One year,DSL,2,Mailed check,0,0
CUST-00030,24,22.27,498.92,Month-to-month,DSL,0,Electronic check,0,0
CUST-00031,1,17.21,16.29,Month-to-month,No,0,Mailed check,0,0
CUST-00032,46,26.15,1158.83,Two year,No,1,Electronic check,0,0
CUST-00033,53,55.92,2755.65,Two year,DSL,5,Credit card,0,0
CUST-00034,34,101.56,3595.66,Two year,Fiber optic,2,Mailed check,0,0
CUST-00035,5,103.34,534.12,Month-to-month,Fiber optic,5,Mailed check,0,0
CUST-00036,11,79.2,839.13,Month-to-month,DSL,2,Mailed check,1,0
CUST-00037,56,21.28,1231.46,Two year,No,2,Mailed check,0,0
CUST-00038,8,46.9,358.77,Month-to-month,DSL,0,Mailed check,0,1
CUST-00039,42,71.57,2776.25,One year,Fiber optic,3,Credit card,0,0
CUST-00040,47,58.64,2888.24,Two year,DSL,0,Credit card,0,0
CUST-00041,72,55.36,3946.06,Two year,DSL,1,Electronic check,0,0
CUST-00042,1,50.99,52.88,Month-to-month,DSL,1,Bank transfer,0,0
CUST-00043,43,75.72,3155.97,One year,DSL,1,Bank transfer,0,0
